pais;destino;actividad;url_actividad;fecha;pais_usuario
Uruguay;Montevideo;Montevideo paseo a caballo por un sendero hasta la playa;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseo-a-caballo-por-un-sendero-hasta-la-playa-t1097091/;17/11/2025;Turquía
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;17/02/2026;Alemania
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;14/02/2026;Alemania
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;13/02/2026;Alemania
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;12/02/2026;Alemania
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;12/02/2026;Brasil
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;11/02/2026;Canadá
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;04/02/2026;Alemania
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;31/01/2026;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;29/01/2026;Estados Unidos
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;26/01/2026;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;14/01/2026;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;14/01/2026;Países Bajos
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;06/01/2026;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;02/01/2026;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;23/12/2025;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;22/12/2025;Estados Unidos
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;21/12/2025;Reino Unido
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;20/12/2025;Canadá
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;20/12/2025;Estados Unidos
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;20/12/2025;Reino Unido
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;20/03/2026;Brasil
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;20/02/2026;Estados Unidos
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;13/02/2026;Estados Unidos
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;18/01/2026;España
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;16/01/2026;Brasil
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;07/01/2026;Brasil
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;30/12/2025;Alemania
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;07/12/2025;Reino Unido
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;05/12/2025;Reino Unido
Uruguay;Montevideo;Montevideo entrada al museo de los andes un homenaje al accidente;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-entrada-al-museo-de-los-andes-un-homenaje-al-accidente-t1095636/;04/11/2025;Estados Unidos
Uruguay;Punta del este;Punta del este excursion en;https://www.getyourguide.com/es-es/punta-del-este-l739/punta-del-este-excursion-en-tierra-para-cruceristas-t929400/;20/12/2025;Reino Unido
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;24/03/2026;Estados Unidos
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;23/03/2026;Reino Unido
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;12/03/2026;Canadá
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;03/03/2026;Noruega
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;01/03/2026;Países Bajos
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;22/02/2026;Australia
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;22/02/2026;China
Uruguay;Montevideo;Montevideo paseos guiados en bicicleta electrica;https://www.getyourguide.com/es-es/montevideo-l539/montevideo-paseos-guiados-en-bicicleta-electrica-t852511/;20/02/2026;Canadá
