"catalogue-entry-card__main-image src","catalogue-entry-card__tag","catalogue-entry-card__entry-name href","text-clamp","catalogue-entry-card__company-name-link","catalogue-entry-card__company-name-link href"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141386/CatalogueEntry_banner_CRnR6XRk.png","Accommodation > Boutique hotels","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141386/preview","Sunrise Yoga & Breakfast Experience","Vivaz Cataratas Hotel Resort","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/893354"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141385/CatalogueEntry_banner_SpOamckW.png","Accommodation > Boutique hotels","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141385/preview","Architecture in Harmony with Nature","Vivaz Cataratas Hotel Resort","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/893354"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141374/CatalogueEntry_banner_Hq0cumbs.png","Business travel management companies/services","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141374/preview","Vivaz Cataratas Resort: Where Nature Meets Co…","Vivaz Cataratas Hotel Resort","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/893354"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141373/CatalogueEntry_banner_sbL2CN0i.png","Tourism organisation > City tourist board","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141373/preview","Viva Paulo Afonso","Prefeitura de Paulo Afonso","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/895260"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141371/CatalogueEntry_banner_i96xISka.jpeg","Education establishment","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141371/preview","Passeios em São Paulo","Vered turismo e educação profissional","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/886625"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141370/CatalogueEntry_banner_H48f0ULE.jpeg","Group travel companies/services","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141370/preview","Viagens em grupo","Vered turismo e educação profissional","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/886625"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141366/CatalogueEntry_banner_6INfvm67.jpeg","Destination management companies/services (DMC)","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141366/preview","Shared Tours","GUAT2DO","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/886833"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141365/CatalogueEntry_banner_BYLwxa2H.png","Transport companies/services > Car rental","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141365/preview","Sedan Intermedio Manual |Volkswagen Virtus Msi…","HERTZ ARGENTINA","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/892603"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141364/CatalogueEntry_banner_qB37qd8p.png","Transport companies/services > Car rental","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141364/preview","Sedan Intermedio Plus MT| Citroen Basalt VTI Live PK","HERTZ ARGENTINA","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/892603"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141363/CatalogueEntry_banner_W2engk7k.png","Transport companies/services > Car rental","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141363/preview","VAN 9P AT |Toyota Hiace AT 9 personas","HERTZ ARGENTINA","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/892603"
