destino,actividad1,precio1,actividad2,precio2,similitud_%
Manizales,"Excursión privada a Norcasia, Caldas saliendo desde la ciudad de Manizales.",$911.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,69.61
Norcasia,"Excursión privada a Norcasia, Caldas saliendo desde la ciudad de Manizales.",$911.000,"Excursión privada al Valle de Cocora, Salento y Filandia",2.120.000 COP,69.61
Salento,City Tour Privado por Salento con Intérprete Local,$388.000,Tour por los miradores de Salento,418.000 COP,69.53
Gambita,"Pasadía a la Cascada Los Aviones en Gámbita, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,69.48
Santander,"Pasadía a la Cascada Los Aviones en Gámbita, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,69.48
Manizales,Avistamiento de Ballenas en Juanchaco y Ladrilleros desde Manizales.,$626.000,Paseo en chambaculera por Cartagena,335.000 COP,68.06
Bahía Solano,"Safari Marino en Bahía Solano, Pacífico colombiano",$231.000,Excursión a Guática y Quinchía,562.000 COP,67.65
Jardín,"Jardín, Antioquia: Cabalgata a la Reserva Chorros Blancos.",$205.000,Paseo en chambaculera por Cartagena,335.000 COP,67.14
Jardín,"Senderismo por la Reserva Chorro Blanco en Jardín, Antioquia",$150.000,Senderismo por el Páramo de Santurbán,253.000 COP,66.89
Jardín,"Jardín, Antioquía: Canyoning de 2 Cascadas para Principiantes",$140.000,Senderismo por las cascadas de Jardín,230.000 COP,66.85
Alcalá,Torrentismo en dos cascadas en el municipio de Alcalá,$90.000,Excursión a las cascadas del cañón del río Guatapé,280.000 COP,65.57
Guatapé,Recorrido Privado de 1 hora en Casa Bote por la represa de Guatapé para grupos entre 5 y 16 personas,$307.000,Tour en tuk tuk por Guatapé,40.000 COP,65.09
Mesetas,Circuito de Cascadas Telares y San Antonio desde Mesetas Meta,$230.000,Paseo en pontón por San Andrés,160.000 COP,64.26
Guatapé,Recorrido Privado de 4 horas en Casa Bote por la represa de Guatapé para grupos entre 5 y 20 personas,$5.000.000,Tour en tuk tuk por Guatapé,40.000 COP,62.35
Villa de Leyva,"Taller de Barro en Ráquira, Boyacá",$26.000,Tour por los pueblos de Boyacá,295.000 COP,62.01
Alcalá,Torrentismo por 5 cascadas en el municipio de Alcalá,$100.000,Excursión a las cascadas del cañón del río Guatapé,280.000 COP,61.88
Salento,City Tour Económico por Salento con Intérprete Local,$117.000,Tour por los pueblos de Ricaurte Alto,400.000 COP,60.28
Mesetas,"Circuito de Cascadas Charco Azul desde el municipio de Mesetas, Meta",$230.000,Escalada en la Piedra del Peñol,260.000 COP,56.66
Riosucio,"Magia, Luz y Color",$340.000,Tour de la esmeralda,175.000 COP,48.89
Bahía Solano,Experiencia Inmersiva: Convertirse en Investigador científico,$386.000,Excursión al Bioparque La Reserva,297.000 COP,45.7
