destino,actividad1,precio1,actividad2,precio2,similitud_%
Guatapé,Tour Privado de 1 día a Guatapé desde Medellín,$206.000,Tour navideño por Medellín,89.000 COP,86.61
Santa Rosa de Cabal,"Excursión a Termales de Santa Rosa desde Manizales, Villamaría y Chinchiná",$125.000,Excursión a los Termales Santa Rosa de Cabal,327.000 COP,86.56
Riohacha,Tour de Un Día al Cabo de La Vela desde Riohacha,$460.000,"Tour de 4 días por Santa Marta, Cabo de la Vela y Riohacha",1.490.000 COP,86.23
Mesetas,"Tubing por Cañón del Río Guape desde Mesetas, Meta",$400.000,Tubing en el cañón del río Güape,506.100 COP,86.19
Cartagena,"Tour Islas del Rosario desde Cartagena: Isla Grande, Cholón, Agua Azul y Playa Tranquila (Barú)",$298.000,Excursión a Cartagena e Islas del Rosario,669.060 COP,85.79
Santa Marta,Excursión Terrestre al Parque Tayrona: Playa Cristal,$161.000,Excursión al Parque Tayrona,512.325 COP,85.76
Guatapé,Tour de 1 día al Peñol y Guatapé desde Medellín.,$119.000,Tour navideño por Medellín,89.000 COP,85.58
Medellín,Tour de 1 día al Peñol y Guatapé desde Medellín.,$119.000,Tour navideño por Medellín,89.000 COP,85.58
Santa Marta,Excursión Marítima al Parque Tayrona: Bahía Concha,$180.000,Excursión en lancha a las playas del Parque Tayrona en grupo reducido,312.000 COP,85.14
Bogotá,City Tour Diurno o Nocturno en Bogotá. 4 horas.,$98.000,Tour en chiva rumbera por Bogotá,140.000 COP,85.09
Jardín,"Tour Urbano en Jardín, Antioquia",$115.000,Tour por el Jardín Botánico del Quindío,265.085 COP,85.07
Puerto Triunfo,Tour de 1 día a Santorini saliendo desde Medellín,$155.000,Tour navideño por Medellín,89.000 COP,85.06
Santander,Pasadía al Manto de la Virgen y Cañón de la Hondura,$119.000,Senderismo por la cascada Manto de la Virgen,390.000 COP,85.03
Gambita,Pasadía al Manto de la Virgen y Cañón de la Hondura,$119.000,Senderismo por la cascada Manto de la Virgen,390.000 COP,85.03
Amazonas,Mundo Amazónico: Combo 4 rutas + Almuerzo,$125.000,Tour de las tres fronteras del Amazonas,280.000 COP,84.92
Leticia,Mundo Amazónico: Combo 4 rutas + Almuerzo,$125.000,Tour de las tres fronteras del Amazonas,280.000 COP,84.92
Medellín,Tour de un día a Santa Fe de Antioquia desde Medellín,$157.000,Tour panorámico por Medellín,75.000 COP,84.86
Guatapé,Plan de 1 hora de deportes acuáticos en la represa de Guatapé,$260.000,Actividades acuáticas en el embalse de Guatapé,222.000 COP,84.76
Guatapé,Tour Privado de 1 día al Peñol y Guatapé desde Medellín.,$590.000,Tour navideño por Medellín,89.000 COP,84.63
Medellín,Tour Privado de 1 día al Peñol y Guatapé desde Medellín.,$590.000,Tour navideño por Medellín,89.000 COP,84.63
Jardín,"Tour de la Abeja en Jardín, Antioquia",$155.000,Tour por el Jardín Botánico del Quindío,265.085 COP,84.55
Medellín,Tour de 1 día a Gómez Plata y Carolina del Principe desde Medellín,$145.000,Tour navideño por Medellín,89.000 COP,84.44
Santa Rosa de Cabal,Pasadía Termales de Santa Rosa desde Manizales,$185.000,Excursión a los Termales Santa Rosa de Cabal,327.000 COP,84.36
Villa de Leyva,Cabalgata de Dos Horas por el Desierto de Villa de Leyva,$104.000,Excursión a Villa de Leyva,440.000 COP,84.01
Villa de Leyva,Excursión Privada de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$340.000,Excursión a Villa de Leyva,440.000 COP,84.0
Bogotá,Excursión Privada de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$340.000,Excursión a Villa de Leyva,440.000 COP,84.0
Zipaquirá,Excursión Grupal a la Catedral de Sal de Zipaquirá desde Bogotá.,$114.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,83.87
Bogotá,Excursión Grupal a la Catedral de Sal de Zipaquirá desde Bogotá.,$114.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,83.87
Bogotá,Tour por el Museo del Oro en la ciudad de Bogotá.,$65.000,Tour privado de la esmeralda por Bogotá,680.000 COP,83.87
Zipaquirá,Catedral de Sal de Zipaquirá + City Tour con visita a Monserrate en la ciudad de Bogotá,$480.000,Excursión a la Catedral de Sal de Zipaquirá,179.000 COP,83.65
Cali,Excursión Terrestre al Desierto de la Tatacoa desde Cali,$640.000,Excursión al Desierto de la Tatacoa,363.000 COP,83.52
