moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Chile,Santiago de Chile,Visita a la viña Cousiño Macul,,69.000 CL$,7 opiniones,163 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-vina-cousino-macul/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por Lastarria y el cerro Santa Lucía,,"13.821,24 CL$",39 opiniones,1.330 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-lastarria-cerro-santa-lucia/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Free tour por Santiago + Cambio de Guardia en el Palacio de La Moneda,,¡Gratis!,51 opiniones,2.937 viajeros,https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago-cambio-guardia/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Free tour por los mercados de Santiago,,¡Gratis!,158 opiniones,3.425 viajeros,https://www.civitatis.com/es/santiago-de-chile/free-tour-mercados-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por el cerro San Cristóbal,,"42.385,15 CL$",53 opiniones,676 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-cerro-san-cristobal/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a las termas de Valle de Colina,,65.000 CL$,46 opiniones,435 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-termas-valle-colina/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por Patronato y Bellavista,,"33.170,99 CL$",36 opiniones,431 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-patronato-bellavista/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour de la dictadura de Pinochet,,79.000 CL$,27 opiniones,250 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-dictadura-pinochet/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Parque Nacional Siete Tazas,,93.500 CL$,4 opiniones,122 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-parque-nacional-siete-tazas/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión privada desde Santiago de Chile,,320.990 CL$,7 opiniones,243 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-privada-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,"Excursión a Isla Negra, Pomaire y Viña Undurraga",,140.000 CL$,7 opiniones,105 viajeros,https://www.civitatis.com/es/santiago-de-chile/isla-negra-pomaire-vina-undurraga/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour en bicicleta por Santiago,,"38.699,48 CL$",18 opiniones,138 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-bicicleta-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a Isla Negra y San Alfonso del Mar,,150.000 CL$,8 opiniones,130 viajeros,https://www.civitatis.com/es/santiago-de-chile/isla-negra-algarrobo-vina-indomita/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour de compras por el Outlet Buenaventura,,55.000 CL$,6 opiniones,68 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-compras-outlets/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a la Laguna del Inca y la Viña Sánchez de Loria,,120.000 CL$,13 opiniones,115 viajeros,https://www.civitatis.com/es/santiago-de-chile/laguna-inca-vina-sanchez-loria/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por el Mercado de las Pulgas,,"19.349,74 CL$",9 opiniones,62 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-mercado-pulgas/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a las viñas del Valle de Colchagua,,250.000 CL$,2 opiniones,64 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-vinas-valle-colchagua/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita a la viña Haras de Pirque,,78.000 CL$,8 opiniones,143 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-vina-haras-de-pirque/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a Pomaire y el Parque Tricao,,125.000 CL$,2 opiniones,44 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-pomaire-parque-tricao/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por Santiago + Museo Histórico Nacional,,"82.927,47 CL$",Sin valorar,20 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-santiago-museo-historico-nacional/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour en patinete eléctrico por el Cerro San Cristóbal,,"59.892,06 CL$",4 opiniones,15 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-patinete-electrico-cerro-san-cristobal/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour nocturno por los bares de Santiago de Chile,,69.000 CL$,10 opiniones,70 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-alternativo-nocturno-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,"Cascada Invertida, Muela del Diablo y Parque Nacional Siete Tazas en 2 días",,280.000 CL$,Sin valorar,15 viajeros,https://www.civitatis.com/es/santiago-de-chile/cascada-invertida-muela-diablo-siete-tazas/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita guiada por Sanhattan,,"45.149,40 CL$",Sin valorar,10 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-guiada-sanhattan/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por las iglesias de Santiago,,"18.428,32 CL$",Sin valorar,13 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-iglesias-santiago/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por el Museo de Arte Precolombino y el Museo Histórico Nacional,,"42.385,15 CL$",Sin valorar,13 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-museo-precolombino-museo-historico-nacional/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour en segway por Santiago de Chile,,"73.713,31 CL$",3 opiniones,13 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-segway-santiago-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Escalada en el Cajón del Maipo,,221.000 CL$,Sin valorar,6 viajeros,https://www.civitatis.com/es/santiago-de-chile/escalada-cajon-maipo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour por la Viña Cousiño Macul y el Templo Bahaí,,80.000 CL$,9 opiniones,114 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-cousino-macul-templo-bahai/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour del Estadio Monumental,,68.000 CL$,4 opiniones,90 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-estadio-monumental/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Parque Tricao y Viña Undurraga,,127.000 CL$,Sin valorar,2 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-parque-tricao/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita guiada por el Cementerio General de Santiago,,20.000 CL$,Novedad,2 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-guiada-cementerio-general/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a caballo por el Cajón del Maipo,,"245.096,76 CL$",Novedad,,https://www.civitatis.com/es/santiago-de-chile/excursion-embalse-yeso-paseo-caballo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Ruta privada de rafting en el río Maipo,,"447.808,37 CL$",Novedad,,https://www.civitatis.com/es/santiago-de-chile/rafting-rio-maipo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a San José de Maipo + El Morado Lodge,,179.000 CL$,Sin valorar,,https://www.civitatis.com/es/santiago-de-chile/san-jose-maipo-morado-lodge/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Senderismo por la cascada de las Ánimas,,"433.987,12 CL$",Novedad,,https://www.civitatis.com/es/santiago-de-chile/senderismo-cascada-animas/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Paseo a caballo por el cerro La Dehesa + Cata de vinos,,98.000 CL$,Novedad,,https://www.civitatis.com/es/santiago-de-chile/paseo-caballo-cerro-dehesa/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour en bicicleta por Viña Santa Rita,,107.000 CL$,Sin valorar,2 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-bicicleta-vina-santa-rita/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita guiada por el Museo Histórico y Militar de Chile,,"18.428,32 CL$",1 opinión,10 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-guiada-museo-historico-militar-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Taller de artesanía textil mapuche,,75.000 CL$,Sin valorar,,https://www.civitatis.com/es/santiago-de-chile/taller-artesania-textil-mapuche/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Trekking por el Cajón del Maipo,,"140.055,29 CL$",Novedad,2 viajeros,https://www.civitatis.com/es/santiago-de-chile/trekking-cajon-maipo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Tour de nieve por Farellones y Valle Nevado,,32.000 CL$,246 opiniones,2.834 viajeros,https://www.civitatis.com/es/santiago-de-chile/tour-nieve-valle-nevado-farellones/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Cena y espectáculo tradicional,,95.000 CL$,29 opiniones,628 viajeros,https://www.civitatis.com/es/santiago-de-chile/cena-espectaculo-santiago-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Parque de Farellones con entradas,,120.000 CL$,12 opiniones,430 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-parque-farellones/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,"Excursión privada a Farellones, Colorado y La Parva",,208.340 CL$,17 opiniones,354 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-farellones-colorado-parva/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión al Parque Aconcagua,,290.000 CL$,22 opiniones,237 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-aconcagua/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Paseo en helicóptero por Santiago de Chile,,"345.531,15 CL$",Sin valorar,134 viajeros,https://www.civitatis.com/es/santiago-de-chile/paseo-helicoptero-santiago-chile/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Paseo con raquetas de nieve por el Cajón del Maipo,,214.000 CL$,2 opiniones,79 viajeros,https://www.civitatis.com/es/santiago-de-chile/raquetas-nieve-cajon-maipo/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Experiencia gastronómica Amor y Pastas,,"122.001,22 CL$",2 opiniones,85 viajeros,https://www.civitatis.com/es/santiago-de-chile/taller-pasta-restaurante-amor-pastas/,Civitatis,2026-02-02 16:04
